X	Y	Z
71	70.000008	0.000918
71	80.000008	0.000967
71	90.000008	0.001192
72	10.000002	0.000946
72	20.000004	0.000910
72	30.000008	0.000866
72	40.000008	0.000920
72	50.000011	0.000951
72	60.000008	0.000961
72	70.000008	0.001064
72	80.000008	0.001370
72	90.000008	0.001300
73	10.000002	0.000920
73	20.000004	0.000880
73	30.000008	0.000870
73	40.000008	0.000860
73	50.000011	0.000859
73	60.000008	0.000833
73	70.000008	0.000965
73	80.000008	0.001203
73	90.000008	0.001257
74	10.000002	0.001020
74	20.000004	0.000893
74	30.000008	0.000842
74	40.000008	0.000895
74	50.000011	0.000878
74	60.000008	0.000896
74	70.000008	0.001021
74	80.000008	0.001567
74	90.000008	0.001778
75	10.000002	0.000844
75	20.000004	0.000906
75	30.000008	0.001395
75	40.000008	0.000891
75	50.000011	0.000907
75	60.000008	0.001422
75	70.000008	0.001070
75	80.000008	0.001123
75	90.000008	0.001405
76	10.000002	0.001095
76	20.000004	0.000996
76	30.000008	0.001027
76	40.000008	0.000967
76	50.000011	0.000973
76	60.000008	0.001595
76	70.000008	0.001032
76	80.000008	0.001107
76	90.000008	0.001349
77	10.000002	0.001117
77	20.000004	0.000852
77	30.000008	0.000931
77	40.000008	0.000893
77	50.000011	0.001072
77	60.000008	0.001151
77	70.000008	0.001334
77	80.000008	0.001275
77	90.000008	0.001407
78	10.000002	0.001016
78	20.000004	0.000893
78	30.000008	0.000969
78	40.000008	0.001486
78	50.000011	0.001010
78	60.000008	0.001009
78	70.000008	0.001048
78	80.000008	0.000994
78	90.000008	0.001355
79	10.000002	0.001129
79	20.000004	0.000974
79	30.000008	0.001437
79	40.000008	0.000932
79	50.000011	0.001633
79	60.000008	0.001006
79	70.000008	0.001087
79	80.000008	0.001189
79	90.000008	0.001504
80	10.000002	0.001135
80	20.000004	0.000943
80	30.000008	0.001589
80	40.000008	0.001008
80	50.000011	0.001038
80	60.000008	0.001073
80	70.000008	0.001078
80	80.000008	0.001205
80	90.000008	0.001378
81	10.000002	0.001201
81	20.000004	0.000998
81	30.000008	0.001626
81	40.000008	0.000977
81	50.000011	0.001011
81	60.000008	0.000972
81	70.000008	0.001092
81	80.000008	0.001089
81	90.000008	0.002019
82	10.000002	0.001165
82	20.000004	0.001025
82	30.000008	0.001166
82	40.000008	0.001639
82	50.000011	0.003900
82	60.000008	0.001130
82	70.000008	0.001129
82	80.000008	0.001202
82	90.000008	0.001447
83	10.000002	0.001241
83	20.000004	0.001000
83	30.000008	0.001661
83	40.000008	0.001116
83	50.000011	0.001189
83	60.000008	0.001149
83	70.000008	0.001174
83	80.000008	0.001820
83	90.000008	0.001582
84	10.000002	0.001231
84	20.000004	0.001021
84	30.000008	0.000989
84	40.000008	0.001082
84	50.000011	0.001717
84	60.000008	0.001101
84	70.000008	0.001101
84	80.000008	0.001270
84	90.000008	0.001494
85	10.000002	0.001266
85	20.000004	0.001251
85	30.000008	0.001281
85	40.000008	0.001341
85	50.000011	0.001455
85	60.000008	0.001339
85	70.000008	0.001489
85	80.000008	0.001263
85	90.000008	0.001606
86	10.000002	0.001209
86	20.000004	0.001089
86	30.000008	0.001058
86	40.000008	0.001773
86	50.000011	0.001081
86	60.000008	0.001155
86	70.000008	0.001264
86	80.000008	0.001330
86	90.000008	0.001596
87	10.000002	0.001158
87	20.000004	0.001045
87	30.000008	0.001739
87	40.000008	0.001210
87	50.000011	0.001188
87	60.000008	0.001228
87	70.000008	0.001257
87	80.000008	0.001336
87	90.000008	0.001649
88	10.000002	0.001311
88	20.000004	0.001115
88	30.000008	0.001247
88	40.000008	0.001641
88	50.000011	0.001173
88	60.000008	0.001174
88	70.000008	0.001267
88	80.000008	0.001301
88	90.000008	0.002125
89	10.000002	0.001255
89	20.000004	0.001068
89	30.000008	0.001150
89	40.000008	0.001708
89	50.000011	0.001051
89	60.000008	0.001113
89	70.000008	0.001212
89	80.000008	0.001358
89	90.000008	0.002532
90	10.000002	0.001211
90	20.000004	0.001166
90	30.000008	0.001176
90	40.000008	0.001519
90	50.000011	0.001753
90	60.000008	0.005643
90	70.000008	0.004023
90	80.000008	0.001736
90	90.000008	0.002397
91	10.000002	0.001394
91	20.000004	0.001695
91	30.000008	0.001287
91	40.000008	0.001756
91	50.000011	0.003793
91	60.000008	0.001352
91	70.000008	0.000553
91	80.000008	0.002142
91	90.000008	0.008567
92	10.000002	0.005071
92	20.000004	0.001432
92	30.000008	0.006786
92	40.000008	0.000742
92	50.000011	0.000743
92	60.000008	0.000622
92	70.000008	0.000584
92	80.000008	0.006828
92	90.000008	0.001081
93	10.000002	0.001844
93	20.000004	0.000733
93	30.000008	0.000749
93	40.000008	0.000803
93	50.000011	0.001029
93	60.000008	0.008415
93	70.000008	0.001312
93	80.000008	0.001248
93	90.000008	0.001389
94	10.000002	0.001105
94	20.000004	0.001286
94	30.000008	0.000964
94	40.000008	0.007615
94	50.000011	0.001795
94	60.000008	0.001534
94	70.000008	0.006846
94	80.000008	0.001146
94	90.000008	0.001788
95	10.000002	0.004892
95	20.000004	0.003301
95	30.000008	0.003902
95	40.000008	0.002077
95	50.000011	0.002612
95	60.000008	0.001551
95	70.000008	0.008088
95	80.000008	0.001650
95	90.000008	0.001368
96	10.000002	0.001568
96	20.000004	0.001096
96	30.000008	0.001027
96	40.000008	0.001066
96	50.000011	0.005965
96	60.000008	0.001471
96	70.000008	0.001055
96	80.000008	0.001187
96	90.000008	0.001392
97	10.000002	0.002340
97	20.000004	0.001035
97	30.000008	0.004319
97	40.000008	0.001551
97	50.000011	0.001060
97	60.000008	0.001008
97	70.000008	0.001137
97	80.000008	0.000964
97	90.000008	0.001210
98	10.000002	0.002934
98	20.000004	0.001198
98	30.000008	0.001497
98	40.000008	0.001297
98	50.000011	0.001340
98	60.000008	0.001331
98	70.000008	0.001350
98	80.000008	0.003355
98	90.000008	0.001653
99	10.000002	0.002347
99	20.000004	0.001170
99	30.000008	0.001454
99	40.000008	0.001278
99	50.000011	0.001345
99	60.000008	0.003244
99	70.000008	0.001367
99	80.000008	0.001468
99	90.000008	0.001185
100	10.000002	0.000962
100	20.000004	0.001696
100	30.000008	0.000997
100	40.000008	0.000871
100	50.000011	0.001502
100	60.000008	0.000894
100	70.000008	0.000964
100	80.000008	0.008012
100	90.000008	0.001274
101	10.000002	0.000919
101	20.000004	0.000910
101	30.000008	0.000876
101	40.000008	0.000835
101	50.000011	0.000880
101	60.000008	0.000886
101	70.000008	0.002972
101	80.000008	0.001006
101	90.000008	0.001190
102	10.000002	0.000963
102	20.000004	0.000856
102	30.000008	0.000895
102	40.000008	0.000916
102	50.000011	0.003124
102	60.000008	0.000919
102	70.000008	0.000936
102	80.000008	0.000994
102	90.000008	0.001271
103	10.000002	0.001693
103	20.000004	0.000893
103	30.000008	0.002965
103	40.000008	0.000885
103	50.000011	0.000879
103	60.000008	0.000937
103	70.000008	0.000983
103	80.000008	0.001038
103	90.000008	0.006490
104	10.000002	0.001592
104	20.000004	0.001235
104	30.000008	0.001327
104	40.000008	0.001436
104	50.000011	0.001383
104	60.000008	0.001409
104	70.000008	0.008567
104	80.000008	0.001581
104	90.000008	0.001748
105	10.000002	0.001711
105	20.000004	0.001390
105	30.000008	0.001990
105	40.000008	0.001947
105	50.000011	0.001548
105	60.000008	0.002353
105	70.000008	0.002028
105	80.000008	0.001124
105	90.000008	0.000841
106	10.000002	0.001855
106	20.000004	0.000774
106	30.000008	0.000849
106	40.000008	0.000635
106	50.000011	0.000666
106	60.000008	0.000650
106	70.000008	0.000669
106	80.000008	0.006919
106	90.000008	0.000836
107	10.000002	0.001175
107	20.000004	0.000669
107	30.000008	0.000665
107	40.000008	0.000650
107	50.000011	0.000664
107	60.000008	0.001248
107	70.000008	0.000794
107	80.000008	0.000719
107	90.000008	0.000828
108	10.000002	0.001140
108	20.000004	0.000669
108	30.000008	0.006943
108	40.000008	0.001140
108	50.000011	0.000662
108	60.000008	0.000691
108	70.000008	0.000688
108	80.000008	0.000723
108	90.000008	0.007264
109	10.000002	0.001147
109	20.000004	0.000674
109	30.000008	0.000702
109	40.000008	0.000687
109	50.000011	0.000699
109	60.000008	0.000681
109	70.000008	0.001257
109	80.000008	0.000744
109	90.000008	0.001483
110	10.000002	0.001187
110	20.000004	0.000707
110	30.000008	0.013121
110	40.000008	0.001227
110	50.000011	0.001087
110	60.000008	0.000696
110	70.000008	0.000928
110	80.000008	0.006629
110	90.000008	0.000959
111	10.000002	0.001881
111	20.000004	0.000764
111	30.000008	0.000750
111	40.000008	0.006274
111	50.000011	0.000763
111	60.000008	0.000784
111	70.000008	0.000771
111	80.000008	0.000770
111	90.000008	0.000870
112	10.000002	0.007113
112	20.000004	0.000795
112	30.000008	0.000750
112	40.000008	0.000724
112	50.000011	0.000694
112	60.000008	0.000720
112	70.000008	0.000734
112	80.000008	0.001108
112	90.000008	0.000944
113	10.000002	0.001259
113	20.000004	0.000696
113	30.000008	0.000723
113	40.000008	0.000702
113	50.000011	0.001066
113	60.000008	0.000780
113	70.000008	0.000832
113	80.000008	0.000770
113	90.000008	0.000901
114	10.000002	0.002021
114	20.000004	0.001785
114	30.000008	0.000769
114	40.000008	0.000772
114	50.000011	0.000736
114	60.000008	0.000752
114	70.000008	0.005206
114	80.000008	0.001318
114	90.000008	0.000925
115	10.000002	0.001284
115	20.000004	0.000758
115	30.000008	0.006456
115	40.000008	0.000780
115	50.000011	0.000793
115	60.000008	0.000742
115	70.000008	0.000778
115	80.000008	0.000818
115	90.000008	0.001326
116	10.000002	0.001377
116	20.000004	0.000797
116	30.000008	0.001462
116	40.000008	0.001239
116	50.000011	0.000743
116	60.000008	0.001836
116	70.000008	0.000796
116	80.000008	0.000808
116	90.000008	0.000923
117	10.000002	0.001409
117	20.000004	0.001034
117	30.000008	0.007987
117	40.000008	0.000773
117	50.000011	0.000756
117	60.000008	0.000772
117	70.000008	0.001402
117	80.000008	0.000816
117	90.000008	0.001493
118	10.000002	0.001319
118	20.000004	0.001506
118	30.000008	0.000778
118	40.000008	0.001335
118	50.000011	0.007903
118	60.000008	0.000776
118	70.000008	0.000790
118	80.000008	0.007880
118	90.000008	0.007208
119	10.000002	0.002164
119	20.000004	0.000760
119	30.000008	0.000761
119	40.000008	0.000778
119	50.000011	0.009960
119	60.000008	0.000797
119	70.000008	0.001450
119	80.000008	0.000833
119	90.000008	0.000979
120	10.000002	0.001377
120	20.000004	0.007044
120	30.000008	0.005236
120	40.000008	0.001622
120	50.000011	0.001022
120	60.000008	0.001679
120	70.000008	0.011353
120	80.000008	0.002541
120	90.000008	0.001796
121	10.000002	0.002549
121	20.000004	0.002321
121	30.000008	0.002358
121	40.000008	0.009967
121	50.000011	0.002323
121	60.000008	0.001813
121	70.000008	0.002841
121	80.000008	0.001400
121	90.000008	0.011014
122	10.000002	0.001643
122	20.000004	0.002360
122	30.000008	0.001759
122	40.000008	0.003754
122	50.000011	0.001450
122	60.000008	0.011773
122	70.000008	0.001611
122	80.000008	0.019718
122	90.000008	0.002750
123	10.000002	0.009092
123	20.000004	0.002262
123	30.000008	0.002469
123	40.000008	0.011335
123	50.000011	0.002802
123	60.000008	0.002590
123	70.000008	0.002292
123	80.000008	0.001652
123	90.000008	0.002225
124	10.000002	0.009790
124	20.000004	0.001873
124	30.000008	0.002398
124	40.000008	0.001369
124	50.000011	0.001143
124	60.000008	0.001108
124	70.000008	0.001168
124	80.000008	0.001457
124	90.000008	0.001329
125	10.000002	0.001948
125	20.000004	0.000871
125	30.000008	0.000856
125	40.000008	0.000830
125	50.000011	0.007543
125	60.000008	0.000879
125	70.000008	0.000886
125	80.000008	0.000918
125	90.000008	0.001158
126	10.000002	0.001498
126	20.000004	0.001073
126	30.000008	0.001132
126	40.000008	0.000845
126	50.000011	0.000846
126	60.000008	0.001113
126	70.000008	0.001175
126	80.000008	0.014719
126	90.000008	0.001720
127	10.000002	0.002067
127	20.000004	0.001451
127	30.000008	0.008326
127	40.000008	0.001815
127	50.000011	0.002019
127	60.000008	0.001476
127	70.000008	0.002159
127	80.000008	0.001657
127	90.000008	0.009539
128	10.000002	0.002034
128	20.000004	0.002514
128	30.000008	0.001791
128	40.000008	0.002157
128	50.000011	0.008925
128	60.000008	0.002019
128	70.000008	0.001590
128	80.000008	0.001793
128	90.000008	0.002494
129	10.000002	0.002803
129	20.000004	0.009400
129	30.000008	0.002685
129	40.000008	0.001949
129	50.000011	0.003297
129	60.000008	0.002055
129	70.000008	0.011120
129	80.000008	0.002061
129	90.000008	0.003069
130	10.000002	0.002209
130	20.000004	0.003919
130	30.000008	0.001904
130	40.000008	0.010401
130	50.000011	0.001971
130	60.000008	0.003169
130	70.000008	0.002057
130	80.000008	0.003181
130	90.000008	0.002234
131	10.000002	0.003935
131	20.000004	0.002151
131	30.000008	0.002066
131	40.000008	0.000899
131	50.000011	0.009812
131	60.000008	0.001524
131	70.000008	0.000950
131	80.000008	0.000982
131	90.000008	0.001117
132	10.000002	0.001648
132	20.000004	0.009156
132	30.000008	0.000896
132	40.000008	0.001224
132	50.000011	0.000922
132	60.000008	0.000940
132	70.000008	0.000956
132	80.000008	0.007249
132	90.000008	0.001829
133	10.000002	0.002535
133	20.000004	0.002599
133	30.000008	0.001613
133	40.000008	0.002108
133	50.000011	0.008657
133	60.000008	0.002764
133	70.000008	0.002577
133	80.000008	0.002903
133	90.000008	0.002273
134	10.000002	0.002840
